aX,aY,aZ,gX,gY,gZ
0.596,0.103,2.158,-62.866,-8.362,19.287
0.680,0.189,2.264,-44.067,-22.888,29.114
0.825,0.239,2.311,-17.700,-43.396,39.429
1.036,0.259,2.301,13.367,-69.702,47.119
1.252,0.298,2.239,45.654,-98.694,52.979
1.374,0.320,2.235,74.341,-123.474,62.195
1.395,0.285,2.173,89.966,-141.052,77.209
1.412,0.129,2.076,93.628,-157.959,92.957
1.425,0.055,1.912,86.853,-174.377,101.807
1.263,0.005,1.790,78.369,-190.918,107.666
1.208,0.034,1.737,72.021,-200.317,106.384
1.299,0.124,1.675,64.453,-198.547,101.318
1.371,0.194,1.530,64.758,-200.623,96.313
1.282,0.183,1.394,80.872,-215.332,92.407
1.236,0.154,1.241,106.079,-242.920,85.449
1.158,0.079,1.001,128.723,-277.832,76.843
0.972,0.008,0.779,142.395,-312.317,66.040
0.746,-0.042,0.545,140.503,-332.947,54.443
0.512,-0.072,0.434,127.991,-340.454,44.128
0.448,-0.100,0.260,104.919,-336.182,34.668
0.351,-0.069,0.052,82.520,-336.060,27.100
0.066,-0.121,-0.277,71.472,-352.539,19.714
-0.308,-0.219,-0.814,71.472,-374.023,13.123
-0.721,-0.297,-1.707,91.125,-395.996,2.075
-1.363,-0.303,-2.998,154.907,-429.016,-17.029
-1.805,-0.168,-4.000,286.255,-479.736,-45.715
-1.593,0.208,-4.000,465.149,-530.945,-82.458
-0.987,0.738,-4.000,608.765,-542.175,-110.596
-1.041,0.885,-4.000,643.921,-471.741,-98.938
-2.081,0.519,-3.253,541.687,-291.138,-59.143
-2.633,0.211,-1.908,346.313,-58.411,-50.537
-2.022,0.195,-0.879,103.271,118.958,-59.509
-1.392,0.178,-0.372,-120.789,184.631,-55.603
-1.118,0.026,-0.207,-279.846,178.772,-40.955
-1.079,-0.070,-0.181,-372.314,155.151,-33.691
-1.070,-0.057,-0.248,-408.264,133.667,-33.569
-1.139,0.031,-0.422,-396.667,116.272,-26.855
-1.248,0.045,-0.567,-346.619,108.337,-9.094
-1.298,-0.073,-0.623,-272.705,115.845,10.071
-1.210,-0.208,-0.627,-193.176,133.240,18.677
-1.076,-0.314,-0.597,-118.591,149.109,15.869
-0.997,-0.416,-0.535,-55.054,158.813,6.104
-1.019,-0.477,-0.417,-7.935,165.222,-7.263
-1.084,-0.539,-0.276,19.165,172.180,-21.790
-1.126,-0.599,-0.160,26.428,180.908,-36.438
-1.050,-0.504,-0.126,16.357,189.697,-48.218
-0.843,-0.331,-0.219,3.052,197.815,-49.072
-0.784,-0.345,-0.219,4.395,209.106,-33.447
-0.803,-0.399,-0.119,15.442,228.394,-19.958
-0.739,-0.411,0.030,19.043,248.596,-16.907
-0.581,-0.389,0.243,10.376,262.878,-20.203
-0.373,-0.328,0.376,-17.334,268.555,-25.574
-0.238,-0.218,0.419,-59.875,265.686,-29.907
-0.177,-0.165,0.467,-99.976,257.141,-31.311
-0.192,-0.156,0.502,-129.211,247.375,-32.288
-0.248,-0.125,0.440,-143.250,238.037,-34.485
-0.217,-0.015,0.285,-134.521,231.262,-35.522
-0.100,0.014,0.274,-99.121,230.591,-30.762
-0.140,-0.102,0.290,-47.913,228.943,-22.766
-0.089,-0.196,0.320,1.709,228.210,-30.457
0.067,-0.151,0.320,34.790,223.938,-44.434
0.208,-0.018,0.277,52.063,213.074,-52.307
0.257,0.072,0.257,60.547,200.195,-55.664
0.321,0.108,0.304,60.608,190.979,-54.443
0.466,0.142,0.444,49.133,183.899,-49.744
0.748,0.290,0.525,21.606,176.025,-42.847
1.049,0.411,0.528,-15.747,169.312,-29.541
1.300,0.526,0.401,-50.537,168.640,-9.949
1.508,0.568,0.335,-70.190,183.899,11.597
1.743,0.479,0.469,-72.693,223.938,31.067
1.817,0.185,0.888,-69.397,287.415,45.044
1.831,-0.104,1.490,-75.256,361.511,51.270
1.813,-0.402,2.116,-95.947,421.570,50.598
1.729,-0.416,2.519,-117.798,446.777,41.809
1.422,-0.412,2.758,-124.329,440.918,40.649
1.063,-0.262,2.882,-97.778,391.479,27.710
0.769,-0.177,2.958,-40.100,308.655,4.028
0.534,0.059,2.728,21.545,214.722,-20.264
0.635,-0.346,2.963,67.322,131.409,-44.678
0.813,-0.068,2.799,72.388,28.015,-83.191
0.617,0.222,2.211,57.861,-40.771,-59.204
0.344,0.258,1.874,58.533,-80.872,-34.424
0.158,0.154,1.616,54.504,-89.722,-21.912
0.186,0.076,1.448,37.720,-80.750,-17.395
0.259,0.030,1.170,16.479,-70.740,-8.301
0.245,-0.093,1.029,1.282,-62.622,7.507
0.206,-0.229,0.909,-10.559,-60.364,16.907
0.205,-0.268,0.802,-23.437,-55.786,16.418
0.237,-0.220,0.730,-33.264,-46.875,10.437
0.237,-0.162,0.709,-36.133,-34.790,3.662
0.189,-0.125,0.762,-33.325,-19.470,-2.441
0.157,-0.061,0.870,-28.442,-2.563,-7.996
0.141,0.012,0.986,-23.499,10.742,-12.329
0.140,0.076,1.051,-17.029,14.404,-13.550
0.131,0.091,1.068,-7.507,10.071,-9.827
0.146,0.050,1.064,3.723,1.953,-4.028
0.188,-0.009,1.052,11.536,-4.272,1.404
0.217,-0.070,1.031,11.414,-7.935,6.653
0.231,-0.127,1.004,5.127,-9.277,9.399
0.224,-0.166,0.996,-3.052,-7.690,7.629
0.215,-0.156,1.005,-9.216,-3.296,1.953
0.204,-0.086,1.012,-11.902,1.282,-3.662
0.171,-0.048,1.049,-7.568,2.258,-5.676
0.148,-0.030,1.073,-0.244,1.038,-5.859
0.170,-0.005,1.090,6.409,-1.648,-6.165
0.188,0.011,1.084,10.254,-6.958,-5.859
0.188,0.026,1.059,11.047,-14.099,-4.272
0.191,0.021,1.024,9.277,-19.714,-2.258
0.183,0.020,0.983,5.066,-22.217,-0.061
0.166,0.016,0.949,0.061,-21.362,2.136
0.156,0.028,0.913,-3.967,-19.592,2.930
0.157,0.015,0.872,-4.944,-17.822,3.540
0.126,-0.023,0.871,-1.648,-15.869,4.028
0.101,-0.052,0.891,2.563,-11.780,3.662
0.101,-0.065,0.925,5.920,-6.958,2.441
0.104,-0.086,0.950,7.568,-3.967,1.709
0.112,-0.098,0.958,6.226,-1.709,0.610
0.133,-0.075,0.958,2.930,1.038,-0.671
0.136,-0.061,0.977,0.305,2.686,-1.221
0.863,-0.034,1.749,-27.283,-50.354,4.150
0.914,0.054,1.801,-26.550,-65.796,11.047
0.968,0.120,1.750,-18.188,-85.388,21.912
1.029,0.166,1.610,-0.061,-105.835,36.133
1.108,0.076,1.525,27.954,-125.061,48.096
1.198,-0.037,1.453,54.688,-138.611,51.086
1.314,-0.071,1.424,73.547,-147.644,47.058
1.406,-0.101,1.388,82.153,-155.090,41.443
1.407,-0.079,1.304,80.994,-161.194,36.011
1.409,-0.055,1.289,76.355,-165.283,34.668
1.394,-0.019,1.235,64.270,-167.419,37.964
1.287,-0.021,1.189,51.575,-168.518,46.265
1.241,-0.053,1.115,44.250,-172.424,54.199
1.123,-0.091,0.983,45.776,-182.983,57.434
0.926,-0.136,0.860,54.260,-197.876,52.795
0.805,-0.082,0.785,68.115,-207.458,41.870
0.697,-0.151,0.891,82.031,-209.473,33.813
0.688,-0.076,0.948,80.261,-206.543,28.076
0.558,-0.048,0.948,67.322,-208.130,31.128
0.306,-0.095,0.901,56.824,-216.187,41.321
0.125,-0.170,0.801,52.185,-230.225,49.255
0.019,-0.184,0.568,52.917,-247.803,50.293
-0.309,-0.232,0.293,63.904,-264.465,47.974
-0.508,-0.316,0.146,82.642,-267.517,37.842
-0.524,-0.357,0.059,96.436,-256.592,24.170
-0.704,-0.445,-0.042,101.135,-249.390,16.724
-0.970,-0.510,-0.261,97.229,-246.948,12.512
-1.367,-0.456,-0.571,92.712,-249.939,6.287
-1.797,-0.409,-0.947,97.900,-259.644,-3.540
-2.217,-0.314,-1.457,110.962,-265.259,-13.184
-2.647,-0.210,-2.125,138.794,-263.428,-23.987
-2.887,-0.140,-2.761,194.885,-251.526,-37.537
-2.681,-0.138,-3.069,273.560,-221.680,-56.824
-2.386,-0.308,-2.806,338.562,-169.250,-78.979
-2.130,-0.400,-2.268,336.304,-98.572,-95.215
-2.026,-0.303,-1.633,261.292,-20.020,-98.755
-1.802,-0.182,-1.011,153.381,45.959,-84.290
-1.676,-0.107,-0.574,43.579,82.703,-51.575
-1.564,-0.137,-0.311,-51.941,95.703,-13.672
-1.443,-0.141,-0.177,-123.718,102.234,15.625
-1.409,-0.166,-0.084,-165.771,104.675,31.128
-1.394,-0.224,-0.016,-180.359,101.379,33.447
-1.376,-0.263,-0.009,-175.232,92.590,25.696
-1.333,-0.290,-0.068,-157.166,82.092,12.329
-1.325,-0.320,-0.155,-132.874,76.172,-0.488
-1.259,-0.328,-0.211,-106.323,81.299,-10.742
-1.247,-0.365,-0.178,-79.956,97.107,-19.897
-1.243,-0.398,-0.054,-61.157,116.882,-29.419
-1.169,-0.381,0.116,-55.359,134.705,-37.537
-1.146,-0.331,0.271,-62.317,143.799,-40.833
-1.155,-0.295,0.407,-78.064,144.470,-38.452
-1.075,-0.200,0.470,-98.511,139.771,-33.142
-0.875,-0.048,0.364,-114.990,128.540,-22.522
-0.716,-0.213,0.228,-117.432,114.380,-8.179
-0.625,-0.317,0.005,-115.479,107.239,-11.169
-0.510,-0.224,-0.149,-112.061,117.188,-28.564
-0.469,-0.189,-0.023,-100.159,145.569,-45.166
-0.235,-0.112,0.262,-93.323,190.552,-57.129
-0.071,0.029,0.526,-99.121,227.844,-54.382
-0.085,0.100,0.756,-105.164,239.319,-38.574
-0.117,0.081,0.882,-107.300,230.469,-22.583
-0.074,-0.021,0.901,-105.225,208.191,-13.794
-0.020,-0.070,0.766,-99.121,174.133,-17.273
0.075,-0.131,0.497,-84.534,137.390,-34.241
0.156,-0.067,0.225,-56.641,112.183,-62.134
0.323,0.098,0.016,-18.066,109.619,-87.769
0.508,0.229,-0.035,28.748,133.423,-99.915
0.768,0.371,0.056,76.477,173.889,-93.628
1.049,0.405,0.280,110.291,214.233,-68.481
1.232,0.309,0.567,118.469,241.821,-32.410
1.357,0.218,0.721,92.102,255.005,1.343
1.510,0.125,0.713,47.302,258.301,27.039
1.708,-0.017,0.648,7.874,253.296,41.992
1.896,-0.232,0.571,-12.634,248.535,48.157
1.969,-0.537,0.655,-13.611,252.991,48.950
1.887,-0.907,0.985,-10.315,270.996,45.715
1.733,-0.989,1.367,-23.743,300.842,31.921
1.472,-0.807,1.744,-55.115,331.055,15.137
1.139,-0.433,2.110,-83.557,344.055,-6.958
0.866,0.044,2.431,-93.506,339.355,-26.367
0.623,0.398,2.783,-74.280,310.242,-31.433
0.506,0.537,3.094,-35.950,264.648,-27.222
0.427,0.484,3.224,-1.404,221.802,-10.315
0.394,0.238,3.067,21.667,160.217,10.193
0.311,0.078,2.419,36.438,59.814,25.391
0.544,-0.639,2.333,41.443,-45.715,23.926
0.719,-0.352,1.464,18.005,-168.274,-13.306
0.481,-0.258,0.598,14.587,-208.679,-0.854
0.298,-0.241,0.281,47.729,-205.322,-8.545
0.188,-0.237,0.162,80.261,-158.691,-29.663
0.180,-0.238,0.343,95.886,-87.524,-42.786
0.282,-0.090,0.535,88.196,-26.917,-49.805
0.234,0.093,0.618,61.829,4.272,-43.274
0.282,0.093,0.915,29.419,15.137,-26.794
0.154,0.122,0.918,-8.301,6.287,-14.099
0.143,0.116,0.926,-39.063,17.578,3.235
0.190,0.101,0.982,-55.786,31.616,19.714
0.210,-0.033,1.072,-58.350,41.321,33.936
0.253,-0.187,1.120,-54.626,44.739,40.222
0.296,-0.277,1.131,-46.936,43.457,36.072
0.311,-0.317,1.134,-33.936,39.734,27.039
0.294,-0.315,1.162,-15.137,34.119,15.869
0.257,-0.311,1.230,3.906,24.902,4.639
0.246,-0.249,1.265,16.418,12.268,-5.127
0.234,-0.156,1.248,20.813,-2.136,-11.536
0.219,-0.063,1.187,20.874,-15.747,-14.526
0.220,-0.012,1.115,20.569,-26.489,-15.015
0.214,0.005,1.045,19.775,-32.227,-12.024
0.212,0.001,0.976,17.151,-32.349,-6.775
0.224,-0.012,0.889,12.878,-28.687,-2.075
0.226,-0.051,0.816,7.996,-22.461,1.770
0.216,-0.086,0.787,3.967,-13.977,3.479
0.209,-0.103,0.795,0.366,-4.517,4.028
0.209,-0.107,0.828,-2.136,3.174,4.211
0.200,-0.105,0.875,-3.235,8.301,4.333
0.194,-0.112,0.936,-2.563,10.803,5.371
0.201,-0.133,1.000,-1.892,11.536,6.042
0.223,-0.138,1.034,-2.991,10.681,5.920
0.228,-0.127,1.041,-4.700,7.935,5.798
0.752,-0.091,1.928,-31.128,-37.292,2.380
0.912,-0.007,1.985,-25.513,-55.054,8.545
1.108,-0.030,2.066,-4.822,-77.026,23.193
1.389,-0.036,2.057,15.869,-105.225,35.645
1.725,-0.069,1.988,30.334,-140.259,45.654
2.036,-0.036,1.726,39.001,-178.101,52.429
2.209,0.004,1.381,52.490,-212.463,59.814
2.179,-0.043,1.083,80.139,-238.281,66.956
2.151,-0.104,0.900,114.380,-253.052,67.017
2.104,-0.173,0.772,140.747,-258.118,60.059
1.924,-0.322,0.841,153.015,-258.362,52.124
1.776,-0.311,0.875,134.338,-253.174,43.396
1.739,-0.207,0.794,97.290,-249.207,40.222
