aX,aY,aZ,gX,gY,gZ
-0.387,-0.403,1.778,289.917,-132.202,37.109
-0.470,-0.442,1.677,330.444,-139.648,36.011
-0.542,-0.479,1.672,381.958,-150.696,34.607
-0.535,-0.403,1.548,431.946,-158.081,35.889
-0.552,-0.250,1.251,487.793,-163.513,42.725
-0.672,-0.075,0.836,560.181,-166.565,55.176
-0.913,0.020,0.387,646.057,-159.973,72.937
-1.187,-0.001,-0.003,730.286,-135.315,97.168
-1.380,-0.128,-0.272,796.570,-92.407,126.465
-1.529,-0.345,-0.383,828.064,-32.349,159.363
-1.584,-0.531,-0.410,822.571,31.738,195.251
-1.455,-0.578,-0.353,789.246,84.900,226.562
-1.242,-0.527,-0.312,745.667,111.938,249.451
-1.076,-0.517,-0.319,704.895,106.689,268.738
-0.989,-0.471,-0.347,666.260,79.895,292.175
-0.953,-0.502,-0.384,624.695,48.218,319.397
-0.903,-0.545,-0.461,576.172,14.832,345.581
-0.895,-0.624,-0.506,524.048,-15.564,363.098
-0.832,-0.648,-0.608,477.539,-41.931,365.051
-0.780,-0.645,-0.646,435.120,-59.814,353.821
-0.735,-0.612,-0.615,398.926,-67.627,333.069
-0.685,-0.510,-0.550,370.728,-71.472,302.490
-0.629,-0.377,-0.450,349.182,-79.712,264.893
-0.543,-0.256,-0.325,328.003,-92.224,225.952
-0.337,-0.081,-0.197,296.021,-110.046,192.871
-0.081,0.149,-0.177,239.563,-129.395,175.171
0.156,0.400,-0.282,167.236,-141.296,175.110
0.273,0.599,-0.471,99.060,-138.306,184.387
0.363,0.813,-0.568,58.533,-109.131,187.378
0.574,1.054,-0.400,56.458,-51.941,175.537
0.963,1.238,-0.108,81.055,18.250,151.123
1.507,1.397,0.217,121.033,80.872,117.126
2.211,1.465,0.432,170.471,113.342,80.688
2.712,1.523,0.266,210.327,100.830,65.735
2.945,1.339,-0.009,213.562,53.162,87.097
2.703,0.909,-0.429,160.095,-1.892,145.691
2.238,0.444,-0.923,77.209,-41.809,201.233
1.863,0.023,-1.180,34.485,-54.260,215.881
1.557,-0.350,-1.198,34.912,-40.161,197.449
1.429,-0.589,-1.074,48.157,-7.263,158.875
1.431,-0.705,-0.917,56.091,30.457,108.643
1.444,-0.656,-0.833,45.410,58.899,52.063
1.410,-0.439,-0.759,13.489,69.519,-7.629
1.388,-0.170,-0.715,-39.063,65.857,-65.430
1.385,0.106,-0.689,-105.408,50.781,-112.549
1.388,0.383,-0.752,-176.819,24.353,-141.479
1.327,0.605,-0.859,-241.089,-5.981,-150.879
1.208,0.717,-0.950,-287.415,-31.189,-145.264
1.117,0.741,-0.983,-314.026,-43.091,-133.240
1.097,0.682,-1.022,-323.181,-41.443,-114.990
1.055,0.539,-0.988,-322.571,-33.813,-90.210
0.969,0.350,-0.905,-322.449,-22.522,-68.298
0.912,0.177,-0.753,-322.815,-11.353,-59.326
0.951,0.093,-0.618,-320.251,-4.761,-63.538
1.020,0.006,-0.462,-315.491,-8.301,-72.083
1.027,-0.064,-0.339,-323.303,-21.362,-76.843
1.016,-0.160,-0.314,-343.933,-44.128,-82.214
0.970,-0.279,-0.322,-364.868,-72.693,-88.135
0.896,-0.395,-0.287,-380.188,-105.591,-93.689
0.863,-0.450,-0.240,-394.653,-137.085,-103.760
0.867,-0.505,-0.203,-408.142,-160.828,-119.690
0.864,-0.562,-0.214,-416.443,-177.490,-135.376
0.862,-0.696,-0.191,-425.598,-192.017,-148.499
0.735,-0.697,-0.132,-436.829,-211.487,-161.682
0.596,-0.594,-0.264,-450.195,-216.919,-161.255
0.407,-0.401,-0.289,-446.472,-231.812,-161.743
0.190,-0.330,-0.231,-418.945,-232.422,-156.189
0.066,-0.304,-0.101,-385.925,-210.999,-144.653
0.045,-0.361,0.065,-360.901,-177.124,-132.263
0.111,-0.485,0.225,-343.811,-143.921,-122.498
0.203,-0.609,0.367,-335.266,-121.765,-111.877
0.280,-0.732,0.480,-336.670,-116.455,-96.985
0.344,-0.737,0.504,-346.863,-127.625,-82.397
0.229,-0.675,0.432,-361.145,-146.729,-65.002
-0.007,-0.596,0.397,-372.375,-160.645,-42.175
-0.222,-0.505,0.414,-369.995,-156.494,-25.330
-0.342,-0.483,0.486,-349.487,-131.104,-21.057
