aX,aY,aZ,gX,gY,gZ
-0.447,-0.510,2.093,73.608,310.608,-33.997
-0.649,-0.477,2.173,75.134,291.809,-33.997
-0.728,-0.482,2.252,89.722,268.311,-37.476
-0.810,-0.337,2.263,94.849,242.371,-36.133
-0.879,-0.230,2.238,97.900,218.445,-28.625
-0.898,-0.160,2.175,97.046,199.402,-20.447
-0.947,-0.167,2.103,89.783,184.387,-16.602
-1.046,-0.183,2.043,81.848,171.814,-24.231
-1.113,-0.152,1.977,73.425,161.072,-44.373
-1.118,-0.146,1.911,62.683,150.146,-70.557
-1.149,-0.162,1.803,51.086,138.123,-94.299
-1.146,-0.221,1.693,44.617,126.526,-110.046
-1.159,-0.254,1.581,44.434,116.760,-113.892
-1.213,-0.231,1.495,50.171,107.971,-107.666
-1.271,-0.181,1.436,56.885,100.403,-96.802
-1.347,-0.128,1.395,61.279,93.506,-88.501
-1.417,-0.073,1.370,62.988,87.585,-85.754
-1.481,-0.024,1.357,62.744,82.642,-85.205
-1.561,0.008,1.360,62.073,76.599,-83.069
-1.648,0.035,1.370,62.683,68.115,-80.017
-1.748,0.067,1.389,64.636,56.396,-75.806
-1.821,0.103,1.436,65.857,42.542,-70.068
-1.858,0.219,1.451,62.500,28.931,-61.768
-1.904,0.279,1.445,56.885,12.024,-53.955
-1.946,0.251,1.416,52.490,-7.812,-55.054
-1.939,0.193,1.375,46.570,-27.161,-60.486
-1.917,0.138,1.325,42.358,-43.945,-64.331
-1.875,0.121,1.284,40.222,-58.411,-65.857
-1.796,0.145,1.253,39.429,-71.167,-67.139
-1.720,0.164,1.226,38.147,-82.886,-65.186
-1.670,0.165,1.203,36.743,-95.337,-59.937
-1.613,0.131,1.176,35.522,-106.812,-50.903
-1.548,0.095,1.143,33.142,-117.920,-41.992
-1.480,0.072,1.120,32.349,-128.357,-35.339
-1.418,0.062,1.073,31.067,-137.878,-28.137
-1.339,0.055,1.035,27.893,-145.996,-23.437
-1.272,0.060,1.000,24.963,-152.710,-21.729
-1.209,0.046,0.979,21.118,-157.898,-20.691
-1.125,0.061,0.965,18.127,-160.828,-18.616
-1.065,0.100,0.950,16.663,-162.354,-17.273
-1.032,0.123,0.940,15.381,-163.269,-16.724
-1.010,0.115,0.938,12.207,-163.635,-14.526
-1.001,0.115,0.930,9.644,-163.818,-11.902
-0.964,0.108,0.912,7.385,-164.673,-7.690
