aX,aY,aZ,gX,gY,gZ
1.331,-0.920,-0.216,73.608,12.085,-36.072
1.275,-0.775,-0.195,85.205,36.438,-40.283
1.093,-0.710,-0.125,93.994,63.110,-44.250
0.808,-0.637,0.000,100.708,93.445,-50.842
0.412,-0.593,0.165,109.070,120.178,-60.791
0.026,-0.504,0.345,122.925,141.541,-68.909
-0.298,-0.325,0.518,137.878,157.288,-67.688
-0.666,-0.019,0.683,147.644,169.250,-56.885
-1.243,0.190,0.866,148.132,173.584,-40.955
-1.830,0.302,1.028,141.602,172.546,-29.480
-2.315,0.379,1.146,128.357,167.297,-28.625
-2.761,0.341,1.277,116.028,153.076,-38.147
-3.047,0.419,1.362,107.239,134.705,-56.213
-3.165,0.625,1.395,99.976,119.141,-74.829
-3.270,0.833,1.386,93.262,103.394,-88.013
-3.309,1.028,1.301,84.290,84.961,-93.262
-3.190,0.978,1.170,76.599,67.383,-81.360
-3.283,0.928,1.041,66.956,41.077,-61.951
-3.360,0.816,0.856,60.364,14.221,-39.124
-3.133,0.536,0.714,60.242,1.160,-37.598
-3.031,0.366,0.541,52.185,-13.428,-28.748
-2.906,0.138,0.389,45.166,-27.222,-12.268
-2.785,-0.094,0.236,45.105,-36.133,10.620
-2.717,-0.271,0.109,48.889,-43.213,32.166
-2.642,-0.421,0.031,56.458,-44.617,44.434
-2.561,-0.497,0.011,61.096,-40.588,45.471
-2.523,-0.513,0.016,58.228,-35.950,35.522
-2.488,-0.564,0.014,49.133,-33.752,21.057
-2.413,-0.634,-0.014,38.940,-33.997,11.230
-2.347,-0.692,-0.029,33.813,-36.926,12.634
-2.266,-0.683,-0.010,36.438,-41.321,27.100
-2.156,-0.592,-0.001,43.701,-44.800,51.208
-2.015,-0.505,-0.004,50.537,-46.082,75.012
-1.847,-0.461,-0.016,52.490,-43.823,91.248
-1.668,-0.521,-0.026,50.476,-37.903,102.417
-1.496,-0.662,0.035,49.988,-30.518,108.887
-1.322,-0.657,0.133,51.025,-20.203,106.140
-1.173,-0.531,0.303,49.133,-9.033,97.107
-1.035,-0.367,0.496,41.199,-1.648,87.646
-0.874,-0.218,0.674,27.893,0.916,76.355
-0.695,-0.094,0.821,12.695,-5.188,61.279
-0.486,0.025,0.918,2.014,-19.714,43.152
-0.338,0.098,0.924,0.366,-39.856,29.907
-0.165,0.109,0.844,7.141,-56.763,21.179
0.016,0.139,0.708,14.282,-63.965,8.667
0.155,0.204,0.586,17.639,-64.453,-22.034
0.314,0.276,0.540,22.278,-61.279,-76.294
0.481,0.463,0.556,26.917,-54.749,-129.211
0.528,0.715,0.536,29.419,-45.471,-151.794
0.475,0.859,0.529,29.236,-39.612,-148.682
0.285,0.844,0.523,21.667,-40.039,-139.343
0.096,0.772,0.482,9.644,-42.786,-141.602
-0.036,0.630,0.412,-5.981,-48.157,-156.982
-0.081,0.475,0.332,-21.606,-56.885,-171.204
-0.120,0.345,0.225,-32.410,-64.880,-163.879
-0.125,0.183,0.125,-31.860,-68.604,-127.625
-0.131,0.064,0.004,-27.100,-71.533,-76.233
-0.196,-0.003,-0.130,-21.057,-71.838,-24.353
-0.310,-0.069,-0.237,-11.108,-65.369,19.653
-0.406,-0.127,-0.317,-0.549,-52.979,42.786
-0.486,-0.167,-0.340,9.460,-36.804,49.500
-0.587,-0.161,-0.333,17.639,-20.386,46.509
-0.668,-0.141,-0.300,20.447,-7.996,33.813
-0.738,-0.102,-0.258,19.165,0.000,16.418
-0.763,-0.062,-0.205,16.296,7.874,0.366
-0.777,-0.044,-0.149,13.489,14.404,-7.812
-0.816,-0.024,-0.101,11.536,18.433,-8.362
-0.852,-0.004,-0.062,11.536,21.179,-6.592
-0.888,-0.015,-0.020,11.536,22.400,-3.479
-0.934,-0.033,0.016,11.108,22.034,3.601
-0.985,-0.047,0.038,10.193,20.569,11.902
-1.013,-0.072,0.059,9.460,18.555,15.869
-1.041,-0.104,0.074,8.423,16.541,14.648
-1.075,-0.125,0.086,7.874,13.611,10.315
-1.086,-0.113,0.085,7.874,10.376,4.883
-1.078,-0.086,0.074,7.324,7.019,0.854
-1.063,-0.069,0.064,5.310,3.967,-1.648
-1.048,-0.064,0.043,1.770,1.282,-3.601
-1.044,-0.075,0.023,-1.587,-0.977,-4.883
-1.037,-0.079,-0.004,-3.906,-2.441,-6.897
-1.015,-0.087,-0.032,-4.150,-3.540,-8.057
-0.996,-0.073,-0.054,-2.686,-3.723,-6.653
-0.982,-0.057,-0.067,-1.221,-3.479,-4.150
-0.979,-0.052,-0.069,0.183,-2.686,-2.075
-0.975,-0.053,-0.053,0.977,-1.343,-0.916
-0.986,-0.049,-0.032,1.831,1.221,0.366
-1.000,-0.046,-0.005,2.686,3.113,2.197
-1.005,-0.043,0.017,2.808,4.517,4.028
-1.016,-0.041,0.038,1.648,5.005,5.066
-1.024,-0.034,0.052,-0.366,4.883,4.272
-1.036,-0.030,0.056,-2.808,3.906,2.686
-1.034,-0.044,0.048,-5.737,2.563,0.854
-1.020,-0.073,0.042,-7.996,1.038,-0.916
-1.010,-0.086,0.035,-8.667,-0.244,-1.221
-0.997,-0.097,0.033,-7.935,-1.343,-0.671
-0.977,-0.099,0.032,-6.836,-1.953,0.000
-0.969,-0.102,0.022,-6.165,-1.892,0.305
-0.965,-0.119,0.019,-5.371,-1.587,0.000
-0.966,-0.130,0.012,-3.601,-1.343,-0.244
-0.967,-0.138,0.004,-1.831,-1.343,0.732
-0.953,-0.135,0.001,-0.488,-1.099,2.441
